rank,budget,tagline,box_office
150,200000000,The Multiverse Unleashed.,1921847111
151,30000000,"In the year 2003, Uma Thurman will kill Bill",180906076
152,250000,"The husband, the wife...or the bandit?",81379
153,15000000,Anytime. Anywhere. Anyone.,19632715
154,94000000,71% of the Earth's surface is covered by water. That's a lot of space to find one fish.,941637960
155,5000000,An incredible but true story... probably this year's best film.,26023860
156,6000000,You get tough. You get tender. You get close to each other. Maybe you even get close to the truth.,29225935
157,18000000,ographyDramaSport,23402427
158,54000000,"Remember, remember the 5th of November, the gun powder treason and plot. I know of no reason why the gun powder treason should ever be forgot.",134686457
159,3977000,"For the thousands who remember its unparalleled drama, action and romance! For the new thousands to whom the wonders will be revealed for the first time! Breathtaking spectacle, inspired acting by the greatest cast ever assembled! The screen's most exciting love story! The most-talked about picture ever made! [reissue]",402382193
160,960000,A Disgrace to Criminals Everywhere.,3753929
161,175000000,Meet the little voices inside your head.,858848019
162,1400000,Kiss By Kiss...Supreme Suspense Unfurls!,31207
163,Not Available,Un crimen sin castigo. Un amor puro. Una historia que no debe morir. [A crime without a punishment. A pure love. A story that must not die.],Not Available
164,24000000,imationAdventureFamilyFantasy,237536126
165,15000000,medyCrimeDrama,162861289
166,3000000,"The towering triumph of adventure from the makers of ""Lawrence of Arabia.""",27200000
167,1500000,"Choose life. Choose a job. Choose a starter home. Choose dental insurance, leisure wear and matching luggage. Choose your future. But why would anyone want to do a thing like that?",16767475
168,46000000,Every moment matters,122126687
169,25000000,Fight for Country,23308615
170,7000000,A homespun murder story.,60611975
171,33000000,ma,269958228
172,Not Available,imationComedyFamilyFantasy,Not Available
173,Not Available,The true story of a real fake.,Not Available
174,30000000,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",216763646
175,Not Available,A Little Secret...Their Biggest Adventure!,Not Available
176,28000000,A Futuristic Vision Perfected [2007 Final Cut],41722424
177,923000,"""The Picture I Want to Be Remembered by."" -Charlie Chaplin. (Print Ad- Calgary Daily Herald, ((Calgary, Alta.)) 30 December 1925)",29328
178,2500000,Jump on and live a Eurorail journey you will never forget!,5987386
179,20000000,The extraordinary true story of Solomon Northup,187733202
180,Not Available,Discover the friendship that launched a legend.,Not Available
181,125000000,It All Ends Here,1342359942
182,910000,The Man Lived by the Jungle Law of the Docks!,910000 (estimated)
183,15000000,A Tale of the Christ,74437720
184,Not Available,You don't know what you've got 'til it's...,Not Available
185,25000000,ventureComedyCrime,173082189
186,Not Available,"""We are such stuff as dreams are made on, and our little life is rounded with a sleep."" Shakespeare - The Tempest",60418
187,750000,"Buster drives ""The General"" to trainload of laughter. (Trade paper ad).",750000 (estimated)
188,Not Available,Carol Reed's Classic Thriller,1226507
189,Not Available,Falsely accused.  Wrongly imprisoned.  He fought for justice to clear his father's name.,Not Available
190,15000000,One of the most important and powerful films of all time!,49074379
191,11000000,At long last Redmond Barry became a gentleman -- and that was his tragedy.,199632
192,40000000,Based on the incredible true story.,180563636
193,Not Available,The complete restored version of the 1953 French classic [reissue],1098
194,2800000,"1986 in a small town...for two detectives, everything was new.",1166717
195,Not Available,every inch of footage holds such a laugh!,Not Available
196,Not Available,We can all lose control,Not Available
197,1900000,"OUR OPERATOR SAYS..""IT'S GOING TO BE A PLEASURE TO RUN ""MR. SMITH GOES TO WASHINGTON"" 5 DAYS STARTING SUNDAY, NOV.7) (print ad - Lubbock Morning Avalanche - Cactus Theatre - Lubbock Texas - November 2, 1938 - all caps)",144738
198,150000000,WHAT A LOVELY DAY (all caps One Sheet),415261382
199,150000,"A film of visual scope, of imaginative concept, of powerful content, written and directed by Ingmar Bergman, twice honored by the Interational Jury at the Cannes Film Festival 1956,1957",311212
200,$8240000,Two unlikely people. Two different worlds come together in a story about a most unusual friendship.,1740429
201,165000000,One adventure will change two worlds,494879471
202,13000000,Love knows no boundaries,35401758
203,115000000,"Monsters, Inc. : We Scare Because We Care",579707738
204,7000000,Amity Island had everything. Clear skies. Gentle surf. Warm water. People flocked there every summer. It was the perfect feeding ground.,476512065
205,16400000,He was their inspiration. He made their lives extraordinary.,235860116
206,15000000,Hay quienes tratan de ganarse la vida sin mover un dedo... otros tienen que cortarlos. (Mexico),46969409
207,Not Available,"As long as life goes on, relationships between parents and children will bring boundless joy and endless grief.",Not Available
208,Not Available,JOAN of ARC PICTURES Inc. presents,Not Available
209,17500000,"When a country descended into madness and the world turned its back, one man had to make a choice",33882243
210,97600000,They took the American dream for a ride.,225508210
211,960000,You have a ringside seat for the bloodiest bicentennial in history!,117250402
212,6000000,The first casualty of war is innocence.,138545632
213,150000000,Dinner is served... Summer 2007,623726085
214,20000000,Break the story. Break the silence.,98690254
215,6400000,"La sua missione e una sola: distruggere, uccidere... (His one and only mission: to destroy, to kill...) (Italian DVD)",78371200
216,97000000,His time has come,619179950
217,8000000,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",52287414
218,38000000,Everyone's driven by something.,96983009
219,3800000,"""NETWORK""... the humanoids, the love story, the trials and tribulations, the savior of television, the attempted suicides, the assassination -- it's ALL coming along with a galaxy of stars you know and love!",23690757
220,15000000,Into the heart Into the soul,56675895
221,Not Available,What if you had a second chance with the one that got away?,Not Available
222,2777000,Mighty Miracle Show Of 1000 Delights !,25637669
223,Not Available,The Saga of an Indian Family,135342
224,14600000,What would you do if you were stuck in the same day... over and over? Anything you want and everything your heart desires.,71108591
225,2100000,THE SCREEN'S GREATEST LOVE STORY IS THE BEST FILM THIS YEAR FROM HOLLYWOOD!,23661347
226,11000000,The movie you've been waiting for...without the wait.,441306145
227,92000000,Save The Day,631607053
228,Not Available,The Picture Everyone Wants To See.,Not Available
229,Not Available,"So far, so good",Not Available
